TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
124,2,TCGA-AR-A0TX-01,[-1.094441   0.6516955  0.       ],[2.1418211 0.        1.       ],[-1.0064728  0.769318   0.       ],[0.79065543 1.         0.        ],[0.48008308 1.         0.        ],[-0.65962994  1.          0.        ],[-1.2326636  0.6905468  0.       ],[1.911036 0.002002 1.      ],[2.133395 0.       1.      ],[-0.65498435  1.          0.        ],[-0.7992286  1.         0.       ],[1.0012025 1.        0.       ],[0.45297793 0.9996568  0.        ],[-1.8324317   0.00991553 -1.        ],[-0.8091261  1.         0.       ],[0.6432898 1.        0.       ],[0.875316 1.       0.      ],[-0.3064925  1.         0.       ],[-1.2780151  0.8178395  0.       ],[-1.1397598   0.64356047  0.        ],[-1.190758   0.6382054  0.       ],[0.97395253 1.         0.        ]
124,3,TCGA-A2-A0T1-01,[-0.6616701  1.         0.       ],[2.5537815 0.        1.       ],[-1.4471002   0.27597955  0.        ],[0.88291764 0.8659531  0.        ],[0.38806355 1.         0.        ],[-0.8506076  0.9794685  0.       ],[-1.0902344   0.84499323  0.        ],[1.683879   0.00977009 1.        ],[2.201069 0.       1.      ],[-0.66435784  1.          0.        ],[0.89785665 0.92360955 0.        ],[1.176644  0.5158199 0.       ],[1.1583642 0.4605833 0.       ],[-1.4765259   0.46115994  0.        ],[-0.9284664   0.94616437  0.        ],[0.64266086 1.         0.        ],[1.0354742 0.6589781 0.       ],[-0.39999774  0.99961877  0.        ],[-1.0631614   0.75155807  0.        ],[1.0011798 0.6833049 0.       ],[-1.2887745   0.46434787  0.        ],[1.0535103 0.706113  0.       ]
125,2,TCGA-AC-A23H-01,[-0.4457893  1.         0.       ],[2.523622 0.       1.      ],[-1.3968743  0.2669652  0.       ],[0.8537362 0.7619213 0.       ],[1.4305922 0.0546875 0.       ],[-0.3651756  0.9997543  0.       ],[-1.0316551  1.         0.       ],[2.1463425 0.        1.       ],[2.3146744 0.        1.       ],[-0.67060876  1.          0.        ],[-0.81961465  1.          0.        ],[-0.89671195  1.          0.        ],[-0.72267556  1.          0.        ],[-1.628432   0.0299161 -1.       ],[-1.2044383  0.6384887  0.       ],[1.0717447  0.45694444 0.        ],[-0.46926585  1.          0.        ],[-0.5460543  1.         0.       ],[-0.9896703  1.         0.       ],[-1.0580419  1.         0.       ],[-1.2945659   0.43623513  0.        ],[0.99036515 0.5696952  0.        ]
125,3,TCGA-A2-A0YG-01,[-0.61042815  1.          0.        ],[3.1546009 0.        1.       ],[-1.0503623  1.         0.       ],[-0.70953023  1.          0.        ],[1.3299406  0.13538782 0.        ],[-0.36920357  0.9998016   0.        ],[-0.98205304  1.          0.        ],[2.4011545 0.        1.       ],[2.4694688 0.        1.       ],[-0.84563684  1.          0.        ],[-1.1363959  0.9695498  0.       ],[-0.65388566  1.          0.        ],[1.1338756  0.38129896 0.        ],[-1.7021499   0.03010674 -1.        ],[-1.0233715  1.         0.       ],[1.0942075  0.38056955 0.        ],[0.646555  0.9776595 0.       ],[-0.5508495  1.         0.       ],[-0.90343314  1.          0.        ],[-1.4226601   0.28930327  0.        ],[-1.2242811  0.7912427  0.       ],[0.99971384 0.4861422  0.        ]
126,2,TCGA-C8-A12Z-01,[-0.56554955  0.968036    0.        ],[nan  1. nan],[-1.3997895   0.09771073  0.        ],[nan  1. nan],[1.729192   0.00934829 1.        ],[-0.2765762   0.88235295  0.        ],[-1.027072    0.70448667  0.        ],[2.307798 0.       1.      ],[2.5340633 0.        1.       ],[-1.2676182   0.27497533  0.        ],[-1.0807656  0.5972588  0.       ],[-0.89809865  0.8246572   0.        ],[0.7925261 0.8404915 0.       ],[-1.4698974   0.05546633  0.        ],[-1.1706291   0.43183476  0.        ],[1.2643626  0.17160791 0.        ],[-0.49248555  0.92597216  0.        ],[-1.0989729   0.60566205  0.        ],[-0.9439115  0.8720564  0.       ],[-0.9241387  0.8426287  0.       ],[-1.1877836   0.44364807  0.        ],[-0.7851958   0.90521276  0.        ]
126,3,TCGA-A2-A0YG-01,[-0.61042815  1.          0.        ],[3.1546009 0.        1.       ],[-1.0503623  1.         0.       ],[-0.70953023  1.          0.        ],[1.3299406  0.13538782 0.        ],[-0.36920357  0.9998016   0.        ],[-0.98205304  1.          0.        ],[2.4011545 0.        1.       ],[2.4694688 0.        1.       ],[-0.84563684  1.          0.        ],[-1.1363959  0.9695498  0.       ],[-0.65388566  1.          0.        ],[1.1338756  0.38129896 0.        ],[-1.7021499   0.03010674 -1.        ],[-1.0233715  1.         0.       ],[1.0942075  0.38056955 0.        ],[0.646555  0.9776595 0.       ],[-0.5508495  1.         0.       ],[-0.90343314  1.          0.        ],[-1.4226601   0.28930327  0.        ],[-1.2242811  0.7912427  0.       ],[0.99971384 0.4861422  0.        ]
127,2,TCGA-C8-A137-01,[-0.9073726  1.         0.       ],[nan  1. nan],[-1.189675    0.39420244  0.        ],[-0.5035467  1.         0.       ],[1.2564363  0.12348178 0.        ],[-0.3633635   0.94509774  0.        ],[-0.88042927  1.          0.        ],[nan  1. nan],[3.0187647 0.        1.       ],[-0.8036492  1.         0.       ],[-0.7397098  1.         0.       ],[-0.92010874  1.          0.        ],[-0.44290608  0.99306166  0.        ],[-1.2001379  0.4577914  0.       ],[-1.0717387  0.8239597  0.       ],[-0.8072727  1.         0.       ],[-0.35761416  0.89809424  0.        ],[-0.77134407  1.          0.        ],[-1.149531    0.51363856  0.        ],[-1.1385742  0.4888362  0.       ],[-1.063603  0.780342  0.      ],[-0.730932  1.        0.      ]
127,3,TCGA-A2-A0YG-01,[-0.61042815  1.          0.        ],[3.1546009 0.        1.       ],[-1.0503623  1.         0.       ],[-0.70953023  1.          0.        ],[1.3299406  0.13538782 0.        ],[-0.36920357  0.9998016   0.        ],[-0.98205304  1.          0.        ],[2.4011545 0.        1.       ],[2.4694688 0.        1.       ],[-0.84563684  1.          0.        ],[-1.1363959  0.9695498  0.       ],[-0.65388566  1.          0.        ],[1.1338756  0.38129896 0.        ],[-1.7021499   0.03010674 -1.        ],[-1.0233715  1.         0.       ],[1.0942075  0.38056955 0.        ],[0.646555  0.9776595 0.       ],[-0.5508495  1.         0.       ],[-0.90343314  1.          0.        ],[-1.4226601   0.28930327  0.        ],[-1.2242811  0.7912427  0.       ],[0.99971384 0.4861422  0.        ]
128,2,TCGA-C8-A1HK-01,[-0.50285554  0.98296535  0.        ],[3.0132122 0.        1.       ],[-1.2501273   0.41725022  0.        ],[nan  1. nan],[1.1266731  0.37779585 0.        ],[-0.58299357  1.          0.        ],[-1.0455973  0.6500124  0.       ],[2.401116 0.       1.      ],[2.6100485 0.        1.       ],[-1.1674737  0.5189905  0.       ],[-1.0929779  0.5632904  0.       ],[-0.7702295  0.9867621  0.       ],[0.95397425 0.636013   0.        ],[-1.3790201   0.26401457  0.        ],[-1.1408826  0.5370351  0.       ],[0.94310695 0.5514857  0.        ],[-0.80541277  1.          0.        ],[-0.7827045  1.         0.       ],[-1.2756609   0.45278266  0.        ],[-1.1275338   0.51315403  0.        ],[-1.1942424  0.5107018  0.       ],[-0.49363065  0.92377347  0.        ]
128,3,TCGA-A2-A0YG-01,[-0.61042815  1.          0.        ],[3.1546009 0.        1.       ],[-1.0503623  1.         0.       ],[-0.70953023  1.          0.        ],[1.3299406  0.13538782 0.        ],[-0.36920357  0.9998016   0.        ],[-0.98205304  1.          0.        ],[2.4011545 0.        1.       ],[2.4694688 0.        1.       ],[-0.84563684  1.          0.        ],[-1.1363959  0.9695498  0.       ],[-0.65388566  1.          0.        ],[1.1338756  0.38129896 0.        ],[-1.7021499   0.03010674 -1.        ],[-1.0233715  1.         0.       ],[1.0942075  0.38056955 0.        ],[0.646555  0.9776595 0.       ],[-0.5508495  1.         0.       ],[-0.90343314  1.          0.        ],[-1.4226601   0.28930327  0.        ],[-1.2242811  0.7912427  0.       ],[0.99971384 0.4861422  0.        ]
129,2,TCGA-A7-A13E-01,[1.1791663 0.2476527 0.       ],[nan  1. nan],[-1.3707265   0.42724195  0.        ],[-0.39547423  0.9994232   0.        ],[-0.3798131  0.944037   0.       ],[-0.43961644  1.          0.        ],[-1.0209211   0.80332255  0.        ],[2.1074688 0.        1.       ],[2.1707978 0.        1.       ],[-1.0895925   0.97877914  0.        ],[-0.6570125  1.         0.       ],[-0.89370185  1.          0.        ],[0.98643947 0.4890728  0.        ],[-1.3049144   0.48069286  0.        ],[-1.0895839   0.83895355  0.        ],[-0.82196486  1.          0.        ],[-1.0505483   0.88369274  0.        ],[-1.1121451  1.         0.       ],[-0.7006176  1.         0.       ],[-1.0357553   0.83846176  0.        ],[-1.1155277  1.         0.       ],[-0.6182928  1.         0.       ]
